Ranking,Name,Price,Body Location,Category,Company Name,Company URL,Company Location,Company City,Company US State,Company Country
318,"Runtastic - Arm band kit - for Runtastic Orbit",20.09,"Arms","Fitness","Runtastic","https://www.runtastic.com/","Pasching, Austria","Pasching","Non-US","Austria"
164,"Pyle PHRM38 Heart Rate Monitor Watch with minimum, Average Heart Rate, Calorie Counter and Target Zones, Black",21.22,"Wrist","Medical","Pyle","http://www.pyleaudio.com/","Brooklyn, New York, United States","Brooklyn","New York","United States"
18,"Pyle PPDE60 Pedometer with Personalized Calibration for Walking & Runn",21.32,"Waist","Fitness","Pyle","http://www.pyleaudio.com/","Brooklyn, New York, United States","Brooklyn","New York","United States"
128,"Skechers SK10 Go Walk Heart Rate Monitor Pulsebandz, Black/Silver",21.58,"Wrist","Fitness","Skechers","http://www.skechers.com/","Manhattan Beach, California, United States","Manhattan Beach","California","United States"
390,"Pyle PHRM34 Heart Rate Monitor Watch with Calorie Counter",22.25,"Chest","Fitness","Pyle","http://www.pyleaudio.com/","Brooklyn, New York, United States","Brooklyn","New York","United States"
54,"Sportline 310 Qlip - Activity tracker - monochrome - white",24.55,"Waist","Fitness","Sportline","http://www.sportline.com/","Elmsford, New York, United States","Elmsford","New York","United States"
138,"HealthSmart Ring Heart Rate Monitor, Red",24.78,"Wrist","Fitness","Healthsmart","http://www.healthsmart.com/","Irving, Texas, United States","Irving","Texas","United States"
219,"Belkin GS5 Sport Fit Armband, Black F8M918B1C00",24.99,"Arms","Fitness","Belkin","http://www.belkin.com/","Playa Vista, California, United States","Playa Vista","California","United States"
551,"YOO1 Activity Tracker with Trackit Jacket, Raspberry",24.99,"Waist","Lifestyle","Yoo","http://www.yoochallenge.com/","Ridgefield, Connecticut, United States","Ridgefield","Connecticut","United States"
330,"TomTom Comfort Strap, Dark Pink",24.99,"Wrist","Unknown","Tomtom","http://www.tomtom.com/","Amsterdam, Netherlands","Amsterdam","Non-US","Netherlands"
560,"Sportline WV1451BK Snapshot Pedometer Heart Rate Monitor",24.99,"Waist","Fitness","Sportline","http://www.sportline.com/","Elmsford, New York, United States","Elmsford","New York","United States"
50,"Sportline DS Pedometer SP345DS",24.99,"Waist","Fitness","Sportline","http://www.sportline.com/","Elmsford, New York, United States","Elmsford","New York","United States"
410,"Pyle PHRM38SL Heart Rate Monitor Watch, Silver",24.99,"Wrist","Medical","Pyle","http://www.pyleaudio.com/","Brooklyn, New York, United States","Brooklyn","New York","United States"
397,"IK Multimedia iRing White",24.99,"Hands","Entertainment","Ik Multimedia","http://www.ikmultimedia.com/","Modena, Italy","Modena","Non-US","Italy"
415,"Garmin Small Vivofit Replacement Bands, Black/Red/Slate",24.99,"Wrist","Fitness","Garmin","http://www.garmin.com/","Olathe, Kansas, United States","Olathe","Kansas","United States"
84,"Garmin - Wrist strap - large size - Blue, purple, teal - for Garmin vI_vofit",24.99,"Wrist","Unknown","Garmin","http://www.garmin.com/","Olathe, Kansas, United States","Olathe","Kansas","United States"
357,"Accessories Garmin Pack 3 Small Straps for Vivofit (orange,pink,green)",24.99,"Wrist","Lifestyle","Garmin","http://www.garmin.com/","Olathe, Kansas, United States","Olathe","Kansas","United States"
355,"Omron HJ329 Alvita Ultimate Digital Fitness Pedometer",25.0,"Waist","Fitness","Omron","http://www.omron.com/","Kyoto, Japan","Kyoto","Non-US","Japan"
574,"Low tech wearable Unisex T-Shirt",25.52,"Torso","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
353,"Sportline WV1916SL 370 Traq Pedometer",25.95,"Wrist","Fitness","Sportline","http://www.sportline.com/","Elmsford, New York, United States","Elmsford","New York","United States"
327,"Omron HJ-323U Five Function USB Pedometer-Retail Packaged",26.59,"Waist","Fitness","Omron","http://www.omron.com/","Kyoto, Japan","Kyoto","Non-US","Japan"
418,"Garmin tempe Wireless Temperature Sensor - Temperature sensor",26.95,"Waist","Lifestyle","Garmin","http://www.garmin.com/","Olathe, Kansas, United States","Olathe","Kansas","United States"
489,"Omron Strapless Heart Rate Monitor",27.51,"Wrist","Fitness","Omron","http://www.omron.com/","Kyoto, Japan","Kyoto","Non-US","Japan"
537,"Sony Classic Band Set for SWR10 SmartBand (Black/Blue/Orange, Small)",28.99,"Wrist","Lifestyle","Sony","http://www.sony.com/","Tokyo, Japan","Tokyo","Non-US","Japan"
247,"TomTom Comfort Strap - Turquoise",29.95,"Wrist","Lifestyle","Tomtom","http://www.tomtom.com/","Amsterdam, Netherlands","Amsterdam","Non-US","Netherlands"
57,"Casio Mens G-Shock Illuminator Black 200 Meters Alarm DW6900-1",29.99,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
35,"Sony Fashion Band Set for SWR10 SmartBand (White/Green/Pink, Small)",29.99,"Wrist","Lifestyle","Sony","http://www.sony.com/","Tokyo, Japan","Tokyo","Non-US","Japan"
369,"Skechers Go Walk SK2 Classic Strapless Heart Rate Monitor with Calorie Counter L",29.99,"Wrist","Fitness","Skechers","http://www.skechers.com/","Manhattan Beach, California, United States","Manhattan Beach","California","United States"
478,"Pyle Pswmr40gy Sports Mens Marathon Runner Watch W/ Target Time",30.0,"Wrist","Fitness","Pyle","http://www.pyleaudio.com/","Brooklyn, New York, United States","Brooklyn","New York","United States"
114,"ibitz - Kids PowerKey Wireless Activity Monitor - Watermelon",30.99,"Waist","Medical","Geopalz","http://geopalz.com/","Boulder, Colorado, United States","Boulder","Colorado","United States"
42,"Casio Mens W-S220C-4AVCF Tough Solar Runner Digital Display Quartz Re",33.49,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
76,"Dorcy 230L ZX Series Flashlight",33.74,"Hands","Industrial","Dorcy","http://www.dorcy.com/","Columbus, Ohio, United States","Columbus","Ohio","United States"
403,"Omron Pocket Pedometer with Health Management Software",33.9,"Waist","Fitness","Omron","http://www.omron.com/","Kyoto, Japan","Kyoto","Non-US","Japan"
545,"Bushnell 150l Rubicon Headlamp",34.99,"Head","Unknown","Bushnell","http://www.bushnell.com/","Overland Park, Kansas, United States","Overland Park","Kansas","United States"
313,"High Tech Pet MS-4 Digital, Water-Resistant Ultrasonic Collar",34.99,"Neck","Pets and Animals","High Tech Pet","http://www.hitecpet.com/","Ventura, California, United States","Ventura","California","United States"
345,"Garmin - Premium - Heart rate monitor - for Edge 705; Forerunner 305, and more",35.99,"Wrist","Fitness","Garmin","http://www.garmin.com/","Olathe, Kansas, United States","Olathe","Kansas","United States"
107,"Misfit Wearables - Band - Tan",35.99,"Wrist","Lifestyle","Misfit","http://misfit.com/","Burlingame, California, United States","Burlingame","California","United States"
498,"Garmin - Heart rate monitor - for Colorado 300,400c, and more",36.29,"Chest","Fitness","Garmin","http://www.garmin.com/","Olathe, Kansas, United States","Olathe","Kansas","United States"
309,"Casio Tough Solar Ana Digi Watch",36.31,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
110,"Casio AQW100-1AV Mens Digital/Analog Forester Active Dial Sports Wrist Watch W/Resin Band; Black",37.33,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
543,"Sportline CARDIO 630 (Women) - Activity tracker - monochrome - gray - with heart rate sensor",37.68,"Wrist","Fitness","Sportline","http://www.sportline.com/","Elmsford, New York, United States","Elmsford","New York","United States"
2,"Misfit Wearables Fitness Assessment Leather Band, Black",37.99,"Wrist","Fitness","Misfit","http://misfit.com/","Burlingame, California, United States","Burlingame","California","United States"
578,"Casio Men's Black Analog Anti Reverse Bezel Watch Black - C195470",38.38,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
443,"Smart Health Walking Fit EKG Accurate Heart Rate Watch",38.99,"Wrist","Medical","Smarthealth","http://smarthealthusa.com/","Fremont, California, United States","Fremont","California","United States"
95,"Sportline SP1921BK Solo 915 Heart Rate Watch Mens",38.99,"Wrist","Fitness","Sportline","http://www.sportline.com/","Elmsford, New York, United States","Elmsford","New York","United States"
65,"Pyle PPDM1 Digital Heart Rate Monitor",39.0,"Wrist","Fitness","Pyle","http://www.pyleaudio.com/","Brooklyn, New York, United States","Brooklyn","New York","United States"
514,"X-doria KidFit / Health and Fitness - Blue",39.0,"Wrist","Fitness","X-Doria","http://shop.x-doria.com/","Los Angeles, California, United States","Los Angeles","California","United States"
448,"Onanoff Magnum HD Noise-Isolating Earbuds with In-Line Mic, Gunmetal with Wearable Magneat",39.95,"Head","Entertainment","Onanoff","http://www.onanoff.com/","Miami, Florida, United States","Miami","Florida","United States"
194,"Casio WS220 Solar Runner Digital Wrist Watch; Navy Blue",39.99,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
414,"Motorola Moto 360 Wireless Charging Dock",39.99,"Wrist","Lifestyle","Motorola","http://www.motorola.com","Chicago, Illinois, United States","Chicago","Illinois","United States"
570,"LifeTrak C200 Core Fitness Watch - Black/White",39.99,"Wrist","Fitness","Lifetrak","http://lifetrakusa.com/","Fremont, California, United States","Fremont","California","United States"
38,"Casio Watches WV200A-1A Wave Ceptor Atomic Sports Watch",39.99,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
192,"YOO2 Bluetooth Smart Activity Tracker, Raspberry",39.99,"Waist","Lifestyle","Yoo","http://www.yoochallenge.com/","Ridgefield, Connecticut, United States","Ridgefield","Connecticut","United States"
168,"GoHeart Heart Rate Monitor GH100-US",40.52,"Chest","Lifestyle, Fitness","Papago","http://us.papagoinc.com/","Taipei, Taiwan","Taipei","Non-US","Taiwan"
283,"Polar FT1 Heart Rate Monitor",41.29,"Wrist","Fitness","Polar","http://www.polar.com/","Lake Success, New York, United States","Lake Success","New York","United States"
381,"Casio G-SHOCK Multi-Function Chronograph Alarm Sport Watch #DW-9052-1V",41.31,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
337,"CASIO Casio SGW300H-1AV Wrist Watch - Men Sports Chronograph Digital Quartz",41.99,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
153,"Sportline 4360011 Solo 915 Heart Rate Watch Womens",42.0,"Wrist","Fitness","Sportline","http://www.sportline.com/","Elmsford, New York, United States","Elmsford","New York","United States"
576,"Sportline CARDIO 660 (Mens) - Activity tracker - monochrome - black - with heart rate sensor",42.43,"Wrist","Fitness","Sportline","http://www.sportline.com/","Elmsford, New York, United States","Elmsford","New York","United States"
419,"Pyle PSWWM82 Digital Multifunction Sports Watch, Pink PYLPSWWM82PN",43.0,"Wrist","Lifestyle","Pyle","http://www.pyleaudio.com/","Brooklyn, New York, United States","Brooklyn","New York","United States"
405,"Pyle PSWWM82 Digital Multifunction Sports Watch, Yellow PYLPSWWM82YL",43.0,"Wrist","Lifestyle","Pyle","http://www.pyleaudio.com/","Brooklyn, New York, United States","Brooklyn","New York","United States"
372,"Casio AQS810W Solar Analog/Digital Wrist Watch; Navy/White",43.16,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
467,"Polar H1 Heart Rate Transmitter and Strap Set, XXL",44.95,"Chest","Fitness","Polar","http://www.polar.com/","Lake Success, New York, United States","Lake Success","New York","United States"
396,"Polar H6 - Heart rate sensor for Apple iPad (3rd generation); iPad mini; and more",44.98,"Wrist","Fitness","Polar","http://www.polar.com/","Lake Success, New York, United States","Lake Success","New York","United States"
547,"Pyle PSLPWMP5 Waterproof Pedometer & Lap/Calorie Counter with MP3 Play",45.24,"Head","Fitness","Pyle","http://www.pyleaudio.com/","Brooklyn, New York, United States","Brooklyn","New York","United States"
225,"Sportline Women's Cardio Coded Heart Rate Monitor SP1449WH",45.3,"Wrist","Fitness","Sportline","http://www.sportline.com/","Elmsford, New York, United States","Elmsford","New York","United States"
17,"Polar Wearlink Transmitter Nike + Heart Rate Sensor",45.45,"Chest","Fitness","Polar","http://www.polar.com/","Lake Success, New York, United States","Lake Success","New York","United States"
496,"Polar FT2 Heart Rate Monitor Blue, One Size",46.37,"Wrist","Fitness","Polar","http://www.polar.com/","Lake Success, New York, United States","Lake Success","New York","United States"
510,"Skechers Go Run SK11 Go Run 2.4 GHz (Black/Silver)",48.99,"Wrist","Fitness","Skechers","http://www.skechers.com/","Manhattan Beach, California, United States","Manhattan Beach","California","United States"
454,"Low tech wearable Hoodie (Pullover)",49.3,"Torso","Lifestyle","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
106,"Sportline Men's Cardio Connect Heart Rate Monitor SP1088BK",49.95,"Chest","Medical","Sportline","http://www.sportline.com/","Elmsford, New York, United States","Elmsford","New York","United States"
82,"Scosche Rhythm Bluetooth Armband Heart Rate Monitor, Yellow/Black",49.97,"Arms","Fitness","Scosche","http://www.scosche.com/","Oxnard, California, United States","Oxnard","California","United States"
548,"Barska GB12166 Fitness Watch with Heart Rate Monitor",49.99,"Wrist","Fitness","Barska","http://www.barska.com/","Pomona, California, United States","Pomona","California","United States"
572,"Sportline CARDIO 630 (Mens) - Activity tracker - monochrome - black - with heart rate sensor",49.99,"Wrist","Fitness","Sportline","http://www.sportline.com/","Elmsford, New York, United States","Elmsford","New York","United States"
291,"Samsung Gear(tm) Fit Band in Red",49.99,"Wrist","Lifestyle","Samsung","http://www.samsung.com/","Seoul, South Korea","Seoul","Non-US","South Korea"
133,"Misfit Wearables Sport Necklace for Shine",49.99,"Neck","Fitness","Misfit","http://misfit.com/","Burlingame, California, United States","Burlingame","California","United States"
323,"Misfit - Flash Activity Tracker - Frost",49.99,"Wrist","Fitness","Misfit","http://misfit.com/","Burlingame, California, United States","Burlingame","California","United States"
300,"Casio Mens Solar Digital Analog Sport Watch",49.99,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
399,"Xtreme Cables XFit Fitness Band, Pink/Black - 2 pack",49.99,"Wrist","Fitness","Xtreme Cables","http://www.xtremecables.net/","Edison, New Jersey, United States","Edison","New Jersey","United States"
553,"Sportline DUO 1010 (Mens) - Activity tracker - monochrome - black - with heart rate sensor",49.99,"Wrist","Fitness","Sportline","http://www.sportline.com/","Elmsford, New York, United States","Elmsford","New York","United States"
506,"Samsung Gear(tm) Fit Band in Blue",49.99,"Wrist","Lifestyle","Samsung","http://www.samsung.com/","Seoul, South Korea","Seoul","Non-US","South Korea"
368,"Polar H7 - Heart rate sensor for Apple iPhone 4S, 5",51.98,"Chest","Fitness","Polar","http://www.polar.com/","Lake Success, New York, United States","Lake Success","New York","United States"
170,"Jawbone - Up Wristband (large) - Red",51.99,"Wrist","Lifestyle","Jawbone","https://www.jawbone.com/","San Francisco, California, United States","San Francisco","California","United States"
149,"Jawbone UP Fitness Tracker (Medium, Navy Blue)",52.29,"Wrist","Fitness","Jawbone","https://www.jawbone.com/","San Francisco, California, United States","San Francisco","California","United States"
231,"Casio Casio AMW-360B-1A1V Mens Analog Digital Silicone Strap Sports Watch",52.99,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
449,"Pyle PSBTFS40 Bluetooth Wireless Footpod Fitness & Training Sensor",52.99,"Feet","Fitness","Pyle","http://www.pyleaudio.com/","Brooklyn, New York, United States","Brooklyn","New York","United States"
388,"Striiv STRV01-003-0A Black Band Fitness Wristband with Activity/Sleep Tracking",53.99,"Wrist","Lifestyle, Fitness","Striiv","http://www.striiv.com/","Redwood City, California, United States","Redwood City","California","United States"
112,"Fitbit Zip Wireless Activity Tracker, Lime",53.99,"Waist","Fitness","Fitbit","http://www.fitbit.com/","San Francisco, California, United States","San Francisco","California","United States"
179,"180s Men's Foundation LED Glove",54.95,"Hands","Lifestyle","180s","http://www.180s.com/","Baltimore, Maryland, United States","Baltimore","Maryland","United States"
188,"Sportline SOLO 965 (Mens) - Activity tracker - black",54.95,"Wrist","Fitness","Sportline","http://www.sportline.com/","Elmsford, New York, United States","Elmsford","New York","United States"
214,"Polar - Stride Sensor Bluetooth Smart - Stride sensor - for Polar V800",54.95,"Wrist","Fitness","Polar","http://www.polar.com/","Lake Success, New York, United States","Lake Success","New York","United States"
257,"Polar 92052231 - H7 Heart Rate Sensor M-XXL - Pink",55.69,"Chest","Fitness","Polar","http://www.polar.com/","Lake Success, New York, United States","Lake Success","New York","United States"
359,"LifeTrak Zone C410 - Activity tracker - two-color (monochrome) - Bluetooth - white",55.99,"Wrist","Fitness","Lifetrak","http://lifetrakusa.com/","Fremont, California, United States","Fremont","California","United States"
157,"Men's casio sports running gear pedometer watch sgw200-1v",55.99,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
30,"Coleman CX5HD 5.0 MP Action camera - 720p - Metallic silver",56.0,"Head","Entertainment","Coleman","http://www.coleman.com/","Golden, Colorado, United States","Golden","Colorado","United States"
80,"Sportline SOLO 925 (Mens) - Activity tracker - monochrome - black",56.31,"Wrist","Fitness","Sportline","http://www.sportline.com/","Elmsford, New York, United States","Elmsford","New York","United States"
210,"Polar FT4 Heart Rate Monitor Watch, Green",57.44,"Wrist","Fitness","Polar","http://www.polar.com/","Lake Success, New York, United States","Lake Success","New York","United States"
